DATA,PREC,T_MAX,T_MED,T_MIN
01/01/1972,,,,
02/01/1972,,,,
03/01/1972,,,,
04/01/1972,,,,
05/01/1972,,,,
06/01/1972,,,,
07/01/1972,,,,
08/01/1972,,,,
09/01/1972,,,,
10/01/1972,,,,
11/01/1972,,,,
12/01/1972,,,,
13/01/1972,,,,
14/01/1972,,,,
15/01/1972,,,,
16/01/1972,,30.8,24.4,21.4
17/01/1972,0.0,30.2,24.4,21.1
18/01/1972,0.0,29.2,24.3,21.9
19/01/1972,0.0,31.2,25.5,22.0
20/01/1972,0.0,30.0,24.3,21.1
21/01/1972,0.0,31.4,25.5,21.6
22/01/1972,0.0,30.0,24.9,21.9
23/01/1972,21.0,27.8,23.3,21.4
24/01/1972,6.0,29.2,24.8,21.6
25/01/1972,0.0,30.0,24.9,22.1
26/01/1972,10.0,26.2,24.1,22.6
27/01/1972,8.0,24.8,22.3,21.1
28/01/1972,4.9,30.5,24.5,21.6
29/01/1972,0.0,30.2,25.5,21.5
30/01/1972,0.0,28.8,25.2,22.9
31/01/1972,0.0,30.0,25.3,22.6
01/02/1972,0.0,30.0,25.1,22.0
02/02/1972,5.2,30.8,24.7,21.1
03/02/1972,0.0,30.1,25.1,21.6
04/02/1972,0.0,30.8,24.7,21.6
05/02/1972,1.0,28.0,24.0,22.1
06/02/1972,1.6,30.0,24.6,21.6
07/02/1972,0.0,31.0,25.1,22.1
08/02/1972,3.8,28.6,24.1,22.1
09/02/1972,7.2,30.0,24.5,22.1
10/02/1972,2.1,28.9,24.2,21.9
11/02/1972,13.1,29.1,24.2,20.3
12/02/1972,134.8,26.2,23.1,21.4
13/02/1972,3.5,29.5,24.3,21.0
14/02/1972,1.8,30.4,24.7,21.1
15/02/1972,7.6,30.0,25.0,22.0
16/02/1972,1.2,25.5,23.1,22.0
17/02/1972,40.2,27.9,23.8,21.6
18/02/1972,0.1,29.0,23.7,20.9
19/02/1972,0.0,30.1,24.7,22.1
20/02/1972,0.6,30.8,25.5,22.5
